proto,transport,transport_name
0,HOPOPT,IPv6 Hop-by-Hop Option 
1,ICMP,Internet Control Message Protocol 
2,IGMP,Internet Group Management Protocol 
3,GGP,Gateway-to-Gateway Protocol 
4,IPv4,IPv4 (encapsulation) 
5,ST,Internet Stream Protocol 
6,TCP,Transmission Control Protocol 
7,CBT,Core-based trees 
8,EGP,Exterior Gateway Protocol 
9,IGP,Interior Gateway Protocol (any private interior gateway (used by Cisco for their IGRP)) 
10,BBN-RCC-MON,BBN RCC Monitoring 
11,NVP-II,Network Voice Protocol 
12,PUP,Xerox PUP 
13,ARGUS,ARGUS 
14,EMCON,EMCON 
15,XNET,Cross Net Debugger 
16,CHAOS,Chaos 
17,UDP,User Datagram Protocol 
18,MUX,Multiplexing 
19,DCN-MEAS,DCN Measurement Subsystems 
20,HMP,Host Monitoring Protocol 
21,PRM,Packet Radio Measurement 
22,XNS-IDP,XEROX NS IDP 
23,TRUNK-1,Trunk-1 
24,TRUNK-2,Trunk-2 
25,LEAF-1,Leaf-1 
26,LEAF-2,Leaf-2 
27,RDP,Reliable Datagram Protocol 
28,IRTP,Internet Reliable Transaction Protocol 
29,ISO-TP4,ISO Transport Protocol Class 4 
30,NETBLT,Bulk Data Transfer Protocol 
31,MFE-NSP,MFE Network Services Protocol 
32,MERIT-INP,MERIT Internodal Protocol 
33,DCCP,Datagram Congestion Control Protocol 
34,3PC,Third Party Connect Protocol 
35,IDPR,Inter-Domain Policy Routing Protocol 
36,XTP,Xpress Transport Protocol 
37,DDP,Datagram Delivery Protocol 
38,IDPR-CMTP,IDPR Control Message Transport Protocol 
39,TP++,TP++ Transport Protocol 
40,IL,IL Transport Protocol 
41,IPv6,IPv6 (encapsulation) 
42,SDRP,Source Demand Routing Protocol 
43,IPv6-Route,Routing Header for IPv6 
44,IPv6-Frag,Fragment Header for IPv6 
45,IDRP,Inter-Domain Routing Protocol 
46,RSVP,Resource Reservation Protocol 
47,GRE,Generic Routing Encapsulation 
48,MHRP,Mobile Host Routing Protocol 
49,BNA,BNA 
50,ESP,Encapsulating Security Payload 
51,AH,Authentication Header 
52,I-NLSP,Integrated Net Layer Security Protocol 
53,SWIPE,SwIPe 
54,NARP,NBMA Address Resolution Protocol 
55,MOBILE,IP Mobility (Min Encap) 
56,TLSP,Transport Layer Security Protocol (using Kryptonet key management) 
57,SKIP,Simple Key-Management for Internet Protocol 
58,IPv6-ICMP,ICMP for IPv6 
59,IPv6-NoNxt,No Next Header for IPv6 
60,IPv6-Opts,Destination Options for IPv6 
61,INTERNAL,Any host internal protocol 
62,CFTP,CFTP 
63,LOCAL,Any local network 
64,SAT-EXPAK,SATNET and Backroom EXPAK 
65,KRYPTOLAN,Kryptolan 
66,RVD,MIT Remote Virtual Disk Protocol 
67,IPPC,Internet Pluribus Packet Core 
68,DISTFS,Any distributed file system 
69,SAT-MON,SATNET Monitoring 
70,VISA,VISA Protocol 
71,IPCV,Internet Packet Core Utility 
72,CPNX,Computer Protocol Network Executive 
73,CPHB,Computer Protocol Heart Beat 
74,WSN,Wang Span Network 
75,PVP,Packet Video Protocol 
76,BR-SAT-MON,Backroom SATNET Monitoring 
77,SUN-ND,SUN ND PROTOCOL-Temporary 
78,WB-MON,WIDEBAND Monitoring 
79,WB-EXPAK,WIDEBAND EXPAK 
80,ISO-IP,International Organization for Standardization Internet Protocol 
81,VMTP,Versatile Message Transaction Protocol 
82,SECURE-VMTP,Secure Versatile Message Transaction Protocol 
83,VINES,VINES 
84,TTP / IPTM,TTP or Internet Protocol Traffic Manager 
85,NSFNET-IGP,NSFNET-IGP 
86,DGP,Dissimilar Gateway Protocol 
87,TCF,TCF 
88,EIGRP,EIGRP 
89,OSPF,Open Shortest Path First 
90,Sprite-RPC,Sprite RPC Protocol 
91,LARP,Locus Address Resolution Protocol 
92,MTP,Multicast Transport Protocol 
93,AX.25,AX.25 
94,IPIP,IP-within-IP Encapsulation Protocol 
95,MICP,Mobile Internetworking Control Protocol 
96,SCC-SP,Semaphore Communications Sec. Pro 
97,ETHERIP,Ethernet-within-IP Encapsulation 
98,ENCAP,Encapsulation Header 
99,PRIVENC,Any private encryption scheme 
100,GMTP,GMTP 
101,IFMP,Ipsilon Flow Management Protocol 
102,PNNI,PNNI over IP 
103,PIM,Protocol Independent Multicast 
104,ARIS,IBM's ARIS (Aggregate Route IP Switching) Protocol 
105,SCPS,SCPS (Space Communications Protocol Standards) 
106,QNX,QNX 
107,A/N,Active Networks 
108,IPComp,IP Payload Compression Protocol 
109,SNP,Sitara Networks Protocol 
110,Compaq-Peer,Compaq Peer Protocol 
111,IPX-in-IP,IPX in IP 
112,VRRP,Virtual Router Redundancy Protocol - Common Address Redundancy Protocol (not IANA assigned) 
113,PGM,PGM Reliable Transport Protocol 
114,0-HOP,Any 0-hop protocol 
115,L2TP,Layer Two Tunneling Protocol Version 3 
116,DDX,D-II Data Exchange (DDX) 
117,IATP,Interactive Agent Transfer Protocol 
118,STP,Schedule Transfer Protocol 
119,SRP,SpectraLink Radio Protocol 
120,UTI,UTI 
121,SMP,Simple Message Protocol 
122,SM,SM 
123,PTP,Performance Transparency Protocol 
124,IS-IS,IS-IS over IPv4 
125,FIRE,FIRE 
126,CRTP,Combat Radio Transport Protocol 
127,CRUDP,Combat Radio User Datagram 
128,SSCOPMCE,SSCOPMCE 
129,IPLT,IPLT 
130,SPS,Secure Packet Shield 
131,PIPE,Private IP Encapsulation within IP 
132,SCTP,Stream Control Transmission Protocol 
133,FC,Fibre Channel 
134,RSVP-E2E-IGNORE,RSVP-E2E-IGNORE 
135,MobilityHeader,Mobility Header 
136,UDPlite,UDP Lite 
137,MPLS,MPLS-in-IP 
138,manet,MANET Protocols 
139,HIP,Host Identity Protocol 
140,Shim6,Site Multihoming by IPv6 Intermediation 
141,UNASSIGNED,UNASSIGNED
142,UNASSIGNED,UNASSIGNED
143,UNASSIGNED,UNASSIGNED
144,UNASSIGNED,UNASSIGNED
145,UNASSIGNED,UNASSIGNED
146,UNASSIGNED,UNASSIGNED
147,UNASSIGNED,UNASSIGNED
148,UNASSIGNED,UNASSIGNED
149,UNASSIGNED,UNASSIGNED
150,UNASSIGNED,UNASSIGNED
151,UNASSIGNED,UNASSIGNED
152,UNASSIGNED,UNASSIGNED
153,UNASSIGNED,UNASSIGNED
154,UNASSIGNED,UNASSIGNED
155,UNASSIGNED,UNASSIGNED
156,UNASSIGNED,UNASSIGNED
157,UNASSIGNED,UNASSIGNED
158,UNASSIGNED,UNASSIGNED
159,UNASSIGNED,UNASSIGNED
160,UNASSIGNED,UNASSIGNED
161,UNASSIGNED,UNASSIGNED
162,UNASSIGNED,UNASSIGNED
163,UNASSIGNED,UNASSIGNED
164,UNASSIGNED,UNASSIGNED
165,UNASSIGNED,UNASSIGNED
166,UNASSIGNED,UNASSIGNED
167,UNASSIGNED,UNASSIGNED
168,UNASSIGNED,UNASSIGNED
169,UNASSIGNED,UNASSIGNED
170,UNASSIGNED,UNASSIGNED
171,UNASSIGNED,UNASSIGNED
172,UNASSIGNED,UNASSIGNED
173,UNASSIGNED,UNASSIGNED
174,UNASSIGNED,UNASSIGNED
175,UNASSIGNED,UNASSIGNED
176,UNASSIGNED,UNASSIGNED
177,UNASSIGNED,UNASSIGNED
178,UNASSIGNED,UNASSIGNED
179,UNASSIGNED,UNASSIGNED
180,UNASSIGNED,UNASSIGNED
181,UNASSIGNED,UNASSIGNED
182,UNASSIGNED,UNASSIGNED
183,UNASSIGNED,UNASSIGNED
184,UNASSIGNED,UNASSIGNED
185,UNASSIGNED,UNASSIGNED
186,UNASSIGNED,UNASSIGNED
187,UNASSIGNED,UNASSIGNED
188,UNASSIGNED,UNASSIGNED
189,UNASSIGNED,UNASSIGNED
190,UNASSIGNED,UNASSIGNED
191,UNASSIGNED,UNASSIGNED
192,UNASSIGNED,UNASSIGNED
193,UNASSIGNED,UNASSIGNED
194,UNASSIGNED,UNASSIGNED
195,UNASSIGNED,UNASSIGNED
196,UNASSIGNED,UNASSIGNED
197,UNASSIGNED,UNASSIGNED
198,UNASSIGNED,UNASSIGNED
199,UNASSIGNED,UNASSIGNED
200,UNASSIGNED,UNASSIGNED
201,UNASSIGNED,UNASSIGNED
202,UNASSIGNED,UNASSIGNED
203,UNASSIGNED,UNASSIGNED
204,UNASSIGNED,UNASSIGNED
205,UNASSIGNED,UNASSIGNED
206,UNASSIGNED,UNASSIGNED
207,UNASSIGNED,UNASSIGNED
208,UNASSIGNED,UNASSIGNED
209,UNASSIGNED,UNASSIGNED
210,UNASSIGNED,UNASSIGNED
211,UNASSIGNED,UNASSIGNED
212,UNASSIGNED,UNASSIGNED
213,UNASSIGNED,UNASSIGNED
214,UNASSIGNED,UNASSIGNED
215,UNASSIGNED,UNASSIGNED
216,UNASSIGNED,UNASSIGNED
217,UNASSIGNED,UNASSIGNED
218,UNASSIGNED,UNASSIGNED
219,UNASSIGNED,UNASSIGNED
220,UNASSIGNED,UNASSIGNED
221,UNASSIGNED,UNASSIGNED
222,UNASSIGNED,UNASSIGNED
223,UNASSIGNED,UNASSIGNED
224,UNASSIGNED,UNASSIGNED
225,UNASSIGNED,UNASSIGNED
226,UNASSIGNED,UNASSIGNED
227,UNASSIGNED,UNASSIGNED
228,UNASSIGNED,UNASSIGNED
229,UNASSIGNED,UNASSIGNED
230,UNASSIGNED,UNASSIGNED
231,UNASSIGNED,UNASSIGNED
232,UNASSIGNED,UNASSIGNED
233,UNASSIGNED,UNASSIGNED
234,UNASSIGNED,UNASSIGNED
235,UNASSIGNED,UNASSIGNED
236,UNASSIGNED,UNASSIGNED
237,UNASSIGNED,UNASSIGNED
238,UNASSIGNED,UNASSIGNED
239,UNASSIGNED,UNASSIGNED
240,UNASSIGNED,UNASSIGNED
241,UNASSIGNED,UNASSIGNED
242,UNASSIGNED,UNASSIGNED
243,UNASSIGNED,UNASSIGNED
244,UNASSIGNED,UNASSIGNED
245,UNASSIGNED,UNASSIGNED
246,UNASSIGNED,UNASSIGNED
247,UNASSIGNED,UNASSIGNED
248,UNASSIGNED,UNASSIGNED
249,UNASSIGNED,UNASSIGNED
250,UNASSIGNED,UNASSIGNED
251,UNASSIGNED,UNASSIGNED
252,UNASSIGNED,UNASSIGNED
253,Experiment/Test,Use for experimentation and testing 
254,Experiment/Test,Use for experimentation and testing 
255,Reserved,Reserved
